\(x_1\), \(x_2\), \(x_3\), \(f(x_1)\), \(f(x_2)\), \(f(x_3)\), \(|x_1 - x_2|\)
  1.50000,   1.60000,   1.56830, 6.84e-02, -3.17e-02, 1.59e-05, 1.00e-01
  1.56830,   1.60000,   1.56832, 1.59e-05, -3.17e-02, -2.03e-09, 3.17e-02
  1.56830,   1.56832,   1.56832, 1.59e-05, -2.03e-09, 5.59e-17, 1.59e-05
  1.56832,   1.56832,   1.56832, 5.59e-17, -2.03e-09, -1.67e-16, 2.03e-09
